MFCC_1_m,MFCC_2_m,MFCC_3_m,MFCC_4_m,MFCC_5_m,MFCC_6_m,MFCC_7_m,MFCC_8_m,MFCC_9_m,MFCC_10_m,MFCC_11_m,MFCC_12_m,MFCC_13_m,MFCC_1_v,MFCC_2_v,MFCC_3_v,MFCC_4_v,MFCC_5_v,MFCC_6_v,MFCC_7_v,MFCC_8_v,MFCC_9_v,MFCC_10_v,MFCC_11_v,MFCC_12_v,MFCC_13_v,OUTPUT
-339.82524835569615,77.53273988320164,22.272818134778824,29.371330841492114,-2.2058209986341266,-7.984912788763387,5.5069904304403545,4.906690521466402,-2.4172589483325155,1.7198100581193025,-1.242587352393914,-2.773593530289757,0.807556036339129,111.72691860377786,61.74479484201825,27.68726972244321,22.67929710012272,32.63739163890988,26.23480649391999,13.981952010982722,9.150653285143322,13.316140263398825,7.542714309560055,11.263487904533132,10.773858899212183,6.071993862246578,0
-680.1927999098014,124.77062729852476,24.71841384438659,35.91431322661947,15.533054965681917,3.3271586322221185,-6.428644193448997,6.0920044940555576,-0.6363576171928313,-4.476744492359628,-3.4591976437144325,-7.192199184149253,1.9391125177037727,95.96325975592683,61.43169067801574,22.963976191904518,25.803599132322507,31.43698332823971,30.373042551285266,17.046057643792423,11.120737488955372,12.393182260443139,10.831607856428706,9.268352271159962,10.70047350731281,11.797226674251599,0
-386.0892486848382,110.02557215362586,21.234129258646742,30.774915665506608,16.363153045050346,3.6698927376060833,-22.34097924580951,-4.373372066503992,4.143457857507114,-9.201032837860534,2.305659673643186,1.2719076128321147,-3.8219530343336356,95.47145810057901,57.546309688253004,30.753502426730122,27.108168053767994,19.38743603384428,14.2126465513803,25.351162969209682,12.736271661148715,12.101522372844768,17.02553106419448,12.04107609866747,8.933698852023252,11.785096486053268,0
-436.6565220348846,130.645110268414,39.120268332905994,43.674423151269174,6.6458826437534855,-0.7992776876735148,-17.55952767922178,-8.65828893174191,-1.0969628064148047,3.3992106345197723,1.625632417635689,-1.3917649490235355,-1.9631415749317398,91.03143044634473,61.8312264297499,36.447819483707065,31.530925381548688,22.43589584891703,24.114166112683794,21.25330207228286,15.824650019078717,10.969180462100612,12.859822146683761,11.849359737334543,12.387287149753885,12.481891606736994,0
-320.17573950669436,113.73885891321345,20.811575929948713,32.599339119825174,-3.3960822280553304,-10.483878364285601,-4.168933756758455,-1.8058465754081208,-10.821986466939618,-2.2875229710248934,-1.3043016619319527,0.12411403799118624,0.13553548669920318,122.70966643726163,69.55486449252777,44.4352741572805,25.74732855257586,27.766421813582422,26.19822316209332,13.727355576720399,13.051160394769504,14.642922529272234,11.50249986320974,12.496000246763353,10.081759829956411,8.056428951491199,0
-628.5241192993129,128.93943717345417,44.22052236574125,31.183919945324305,3.7787287907358804,1.5404157505141054,-4.1097538189627905,-4.915880526514031,-9.997226696228099,-12.370916215447059,-5.8818754035851315,0.8465412813418446,2.248465164241397,76.63799030209502,64.67561846385341,27.52922697563078,29.899917371108277,29.05407794448451,25.075934121814683,17.503646290267476,17.262536958220295,14.878199213944365,17.08822020086908,11.007248030907263,11.58682124389504,11.744240432494978,0
-389.0561497709452,121.93593672585583,22.749862231642293,36.242664784639935,17.656089901945528,7.817763915621485,-24.507447824611944,-3.816983487291203,-1.370513453628747,-15.893672273429937,-2.8557870663930673,-0.909962741776808,-2.5414713659954615,90.63358538240057,66.72423991938618,31.448468902316502,42.483493882911105,26.01077860168336,22.09135655732367,26.45358198043987,15.961044434929109,14.650575176457734,16.69216334463711,12.42257519118026,11.610853588394066,10.353144883039063,0
-428.0724723434469,124.69885736398804,34.343993605734916,41.40373327523671,9.591444413397925,6.462362227274804,-13.098007943444141,-7.435461922333433,-0.973168809891972,1.6640077724153925,0.553097942937751,-0.01267126141763799,-0.454844916073391,94.53184743361244,70.35667388096365,31.306002075435774,39.160716397179414,27.212928762468287,23.51944452152156,21.72051636769898,17.374104933189788,14.295715560699618,12.40633982181138,12.46105103758235,11.385269760745706,11.332775402776262,0
-316.54302898767753,106.05996622701574,15.791681048792482,36.473425259619226,1.1176995745202696,-9.394582977396349,-0.6081563919101238,-2.264852333138883,-15.888264272560585,-3.352046066755612,-1.9958561257997212,-3.6610616233316864,0.07751843917917037,120.86677344989945,71.3751157764451,39.25694621786999,31.289308416170897,25.060510299130655,26.960979957079815,12.432314947831914,11.878758071391312,18.92624702640945,11.889559032499516,11.53229273823238,10.368558312378001,9.041355600171858,0
-634.8320209705583,129.41848760912714,34.506645357157254,37.22900356312888,13.719234807881255,-0.43673665044098053,-5.099526959339952,0.1324845308586069,-8.716731582266855,-8.526715504498334,-4.41270827859193,-3.56848396759811,-1.8271823425443212,91.31222924231612,68.31230106762443,30.20949763204256,33.958580534354745,29.125184697546917,26.15190267608192,17.562648253508762,14.08112740276006,15.890183299183416,17.848121254295705,12.12583066712875,10.117632905048348,9.952981041266906,0
